"date","value"
"20150101",""
"20150102",0.41
"20150105",0.4
"20150106",0.41
"20150107",0.39
"20150108",0.41
"20150109",0.36
"20150112",0.35
"20150113",0.37
"20150114",0.29
"20150115",0.19
"20150116",0.23
"20150119",""
"20150120",0.23
"20150121",0.26
"20150122",0.29
"20150123",0.21
"20150126",0.22
"20150127",0.17
"20150128",0.12
"20150129",0.15
"20150130",0.03
"20150202",0.03
"20150203",0.09
"20150204",0.1
"20150205",0.13
"20150206",0.24
"20150209",0.25
"20150210",0.31
"20150211",0.32
"20150212",0.33
"20150213",0.34
"20150216",""
"20150217",0.43
"20150218",0.36
"20150219",0.37
"20150220",0.38
"20150223",0.34
"20150224",0.27
"20150225",0.24
"20150226",0.24
"20150227",0.17
"20150302",0.25
"20150303",0.26
"20150304",0.25
"20150305",0.27
"20150306",0.41
"20150309",0.44
"20150310",0.41
"20150311",0.39
"20150312",0.39
"20150313",0.44
"20150316",0.45
"20150317",0.42
"20150318",0.23
"20150319",0.19
"20150320",0.17
"20150323",0.17
"20150324",0.11
"20150325",0.12
"20150326",0.21
"20150327",0.19
"20150330",0.23
"20150331",0.18
"20150401",0.07
"20150402",0.11
"20150403",0.02
"20150406",0.07
"20150407",0.04
"20150408",0.08
"20150409",0.13
"20150410",0.14
"20150413",0.14
"20150414",0.1
"20150415",0.07
"20150416",0.05
"20150417",-0.02
"20150420",0.01
"20150421",0.06
"20150422",0.12
"20150423",0.07
"20150424",0.04
"20150427",0.03
"20150428",0.11
"20150429",0.14
"20150430",0.11
"20150501",0.18
"20150504",0.24
"20150505",0.25
"20150506",0.34
"20150507",0.3
"20150508",0.28
"20150511",0.4
"20150512",0.4
"20150513",0.41
"20150514",0.36
"20150515",0.31
"20150518",0.37
"20150519",0.42
"20150520",0.38
"20150521",0.35
"20150522",0.34
"20150525",""
"20150526",0.32
"20150527",0.34
"20150528",0.33
"20150529",0.32
"20150601",0.39
"20150602",0.44
"20150603",0.55
"20150604",0.5
"20150605",0.55
"20150608",0.54
"20150609",0.56
"20150610",0.63
"20150611",0.56
"20150612",0.55
"20150615",0.51
"20150616",0.44
"20150617",0.42
"20150618",0.46
"20150619",0.4
"20150622",0.47
"20150623",0.5
"20150624",0.48
"20150625",0.49
"20150626",0.57
"20150629",0.46
"20150630",0.48
"20150701",0.54
"20150702",0.49
"20150703",""
"20150706",0.43
"20150707",0.4
"20150708",0.39
"20150709",0.47
"20150710",0.55
"20150713",0.58
"20150714",0.56
"20150715",0.52
"20150716",0.52
"20150717",0.51
"20150720",0.56
"20150721",0.53
"20150722",0.53
"20150723",0.49
"20150724",0.51
"20150727",0.5
"20150728",0.51
"20150729",0.52
"20150730",0.51
"20150731",0.46
"20150803",0.46
"20150804",0.52
"20150805",0.58
"20150806",0.56
"20150807",0.52
"20150810",0.55
"20150811",0.49
"20150812",0.52
"20150813",0.57
"20150814",0.58
"20150817",0.58
"20150818",0.62
"20150819",0.55
"20150820",0.53
"20150821",0.52
"20150824",0.52
"20150825",0.59
"20150826",0.65
"20150827",0.6
"20150828",0.58
"20150831",0.58
"20150901",0.6
"20150902",0.64
"20150903",0.64
"20150904",0.62
"20150907",""
"20150908",0.67
"20150909",0.65
"20150910",0.64
"20150911",0.61
"20150914",0.62
"20150915",0.72
"20150916",0.73
"20150917",0.63
"20150918",0.58
"20150921",0.66
"20150922",0.63
"20150923",0.64
"20150924",0.64
"20150925",0.71
"20150928",0.71
"20150929",0.66
"20150930",0.65
"20151001",0.59
"20151002",0.51
"20151005",0.56
"20151006",0.53
"20151007",0.53
"20151008",0.54
"20151009",0.58
"20151012",""
"20151013",0.54
"20151014",0.5
"20151015",0.54
"20151016",0.56
"20151019",0.59
"20151020",0.6
"20151021",0.59
"20151022",0.57
"20151023",0.58
"20151026",0.59
"20151027",0.57
"20151028",0.63
"20151029",0.67
"20151030",0.63
"20151102",0.65
"20151103",0.65
"20151104",0.68
"20151105",0.71
"20151106",0.75
"20151109",0.76
"20151110",0.77
"20151111",""
"20151112",0.78
"20151113",0.76
"20151116",0.76
"20151117",0.72
"20151118",0.71
"20151119",0.68
"20151120",0.66
"20151123",0.64
"20151124",0.62
"20151125",0.62
"20151126",""
"20151127",0.62
"20151130",0.62
"20151201",0.58
"20151202",0.62
"20151203",0.72
"20151204",0.68
"20151207",0.67
"20151208",0.68
"20151209",0.69
"20151210",0.73
"20151211",0.67
"20151214",0.78
"20151215",0.8
"20151216",0.84
"20151217",0.77
"20151218",0.73
"20151221",0.75
"20151222",0.78
"20151223",0.76
"20151224",0.73
"20151225",""
"20151228",0.74
"20151229",0.79
"20151230",0.77
"20151231",0.73
"20160101",""
"20160104",0.69
"20160105",0.69
"20160106",0.65
"20160107",0.66
"20160108",0.65
"20160111",0.72
"20160112",0.69
"20160113",0.65
"20160114",0.67
"20160115",0.67
"20160118",""
"20160119",0.68
"20160120",0.69
"20160121",0.74
"20160122",0.72
"20160125",0.69
"20160126",0.65
"20160127",0.62
"20160128",0.58
"20160129",0.53
"20160201",0.57
"20160202",0.51
"20160203",0.5
"20160204",0.51
"20160205",0.53
"20160208",0.52
"20160209",0.53
"20160210",0.5
"20160211",0.45
"20160212",0.49
"20160215",""
"20160216",0.53
"20160217",0.53
"20160218",0.51
"20160219",0.5
"20160222",0.46
"20160223",0.42
"20160224",0.39
"20160225",0.32
"20160226",0.35
"20160229",0.32
"20160301",0.35
"20160302",0.33
"20160303",0.3
"20160304",0.37
"20160307",0.43
"20160308",0.37
"20160309",0.39
"20160310",0.45
"20160311",0.44
"20160314",0.45
"20160315",0.47
"20160316",0.36
"20160317",0.34
"20160318",0.27
"20160321",0.28
"20160322",0.31
"20160323",0.3
"20160324",0.34
"20160325",""
"20160328",0.33
"20160329",0.2
"20160330",0.18
"20160331",0.16
"20160401",0.17
"20160404",0.14
"20160405",0.14
"20160406",0.17
"20160407",0.12
"20160408",0.14
"20160411",0.17
"20160412",0.22
"20160413",0.21
"20160414",0.24
"20160415",0.2
"20160418",0.21
"20160419",0.19
"20160420",0.23
"20160421",0.24
"20160422",0.25
"20160425",0.26
"20160426",0.27
"20160427",0.19
"20160428",0.12
"20160429",0.12
"20160502",0.2
"20160503",0.17
"20160504",0.16
"20160505",0.13
"20160506",0.18
"20160509",0.18
"20160510",0.15
"20160511",0.14
"20160512",0.15
"20160513",0.13
"20160516",0.15
"20160517",0.15
"20160518",0.26
"20160519",0.29
"20160520",0.29
"20160523",0.3
"20160524",0.31
"20160525",0.29
"20160526",0.25
"20160527",0.27
"20160530",""
"20160531",0.3
"20160601",0.31
"20160602",0.27
"20160603",0.19
"20160606",0.19
"20160607",0.15
"20160608",0.12
"20160609",0.12
"20160610",0.12
"20160613",0.15
"20160614",0.17
"20160615",0.13
"20160616",0.15
"20160617",0.2
"20160620",0.24
"20160621",0.28
"20160622",0.25
"20160623",0.24
"20160624",0.15
"20160627",0.12
"20160628",0.09
"20160629",0.1
"20160630",0.09
"20160701",0.03
"20160704",""
"20160705",-0.03
"20160706",-0.05
"20160707",-0.03
"20160708",-0.06
"20160711",0.01
"20160712",0.07
"20160713",0.03
"20160714",0.08
"20160715",0.11
"20160718",0.1
"20160719",0.12
"20160720",0.13
"20160721",0.05
"20160722",0.06
"20160725",0.08
"20160726",0.07
"20160727",0.03
"20160728",0.0
"20160729",-0.03
"20160801",0.05
"20160802",0.11
"20160803",0.09
"20160804",0.04
"20160805",0.09
"20160808",0.08
"20160809",0.06
"20160810",0.06
"20160811",0.1
"20160812",0.07
"20160815",0.1
"20160816",0.13
"20160817",0.09
"20160818",0.06
"20160819",0.1
"20160822",0.08
"20160823",0.07
"20160824",0.08
"20160825",0.09
"20160826",0.15
"20160829",0.11
"20160830",0.11
"20160831",0.11
"20160901",0.12
"20160902",0.13
"20160905",""
"20160906",0.06
"20160907",0.03
"20160908",0.09
"20160909",0.17
"20160912",0.17
"20160913",0.24
"20160914",0.21
"20160915",0.22
"20160916",0.19
"20160919",0.2
"20160920",0.2
"20160921",0.15
"20160922",0.08
"20160923",0.05
"20160926",0.05
"20160927",0.04
"20160928",0.01
"20160929",0.02
"20160930",0.0
"20161003",0.0
"20161004",0.07
"20161005",0.1
"20161006",0.11
"20161007",0.1
"20161010",""
"20161011",0.13
"20161012",0.15
"20161013",0.12
"20161014",0.13
"20161017",0.09
"20161018",0.09
"20161019",0.08
"20161020",0.08
"20161021",0.07
"20161024",0.11
"20161025",0.07
"20161026",0.08
"20161027",0.13
"20161028",0.13
"20161031",0.11
"20161101",0.11
"20161102",0.11
"20161103",0.14
"20161104",0.11
"20161107",0.12
"20161108",0.15
"20161109",0.25
"20161110",0.27
"20161111",""
"20161114",0.4
"20161115",0.41
"20161116",0.39
"20161117",0.42
"20161118",0.44
"20161121",0.42
"20161122",0.41
"20161123",0.44
"20161124",""
"20161125",0.47
"20161128",0.47
"20161129",0.44
"20161130",0.43
"20161201",0.48
"20161202",0.49
"20161205",0.45
"20161206",0.44
"20161207",0.42
"20161208",0.45
"20161209",0.51
"20161212",0.51
"20161213",0.53
"20161214",0.6
"20161215",0.7
"20161216",0.74
"20161219",0.68
"20161220",0.67
"20161221",0.64
"20161222",0.6
"20161223",0.58
"20161226",""
"20161227",0.58
"20161228",0.56
"20161229",0.55
